"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََل َ,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبأ َ 3,,,,,ء ص ء,,,,,125,,,,,1,,,,,ء ب ء,,
"",,,,,,,,,,,,,,,,,اِس تأَبَ,,,,,,,,,,اِئتْبَ,,,,,,,,,,,,,,,تأَبَ  َب,,,,,,,,,,,,,,,أَبب َ,,,,,,,,,,,,,,,أَب    112,,,,,ء (ص ص),,,,,5,,,,,2,,,,,ء ب ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَتَ,,,,,,,,,,,,,,,,,,,,أَبِتَ   4,,,,,,,,,,أَبتََ   21,,,,,ء ص ص,,,,,417,,,,,4,,,,,ء ب ت,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبِثَ  4,,,,,,,,,,أَبثََ   2,,,,,ء ص ص,,,,,152,,,,,5,,,,,ء ب ث,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَ ِبج َ  4,,,,,,,,,,,,,,,ء ص ص,,,,,397,,,,,5,,,,,ء ب ج,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبخ َ 2,,,,,,,,,,,,,,,,,,,,ء ص ص,,,,,224,,,,,7,,,,,ء ب خ,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَ  َد,,,,,,,,,,,,,,,أ!بد َ,,,,,أَبِد َ  4,,,,,,,,,,أَب  َدَ    312,,,,,ء ص ص,,,,,371,,,,,7,,,,,ء ب د,,
"",,,,,,,,,,,,,,,,,اِس تأَبْرَ َ,,,,,,,,,,اِئتْبَ َ,,,,,,,,,,,,,,,تأَبَر َ,,,,,,,,,,,,,,,أَبر َ,,,,,أ ِبر َ  4,,,,,,,,,,أب  َرَ   21,,,,,ء ص ص,,,,,5,,,,,10,,,,,ء ب ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبزَ َ  2,,,,,ء ص ص,,,,,5,,,,,15,,,,,ء ب ز,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَسَ,,,,,,,,,,,,,,,أَبسَ,,,,,,,,,,,,,,,أَبسََ  2,,,,,ء ص ص,,,,,394,,,,,15,,,,,ء ب س,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَشَ,,,,,,,,,,,,,,,أَبشَ,,,,,,,,,,,,,,,أَبشََ    12,,,,,ء ص ص,,,,,61,,,,,17,,,,,ء ب ش,,
